"commonname","speciesname"
"Kai Stingaree","Urolophus kaianus"
"Lobed Stingaree","Urolophus lobatus"
"Mitotic Stingaree","Urolophus mitosis"
"New Caledonian Stingaree","Urolophus neocaledoniensis"
"Coastal Stingaree","Urolophus orarius"
"Butterfly Stingaree","Urolophus papilio"
"Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"Coral Sea Stingaree","Urolophus piperatus"
"Yellowback Stingaree","Urolophus sufflavus"
"Greenback Stingaree","Urolophus viridis"
"Brown Stingaree","Urolophus westraliensis"
"Bullseye Round Ray","Urobatis concentricus"
"Round Stingray","Urobatis halleri"
"Yellow Stingray","Urobatis jamaicensis"
"Spotted Round Ray","Urobatis maculatus"
"Giant Stingaree","Plesiobatis daviesi"
"Thornback Ray","Platyrhinoidis triseriata"
"Zonetail Butterfly Ray","Gymnura zonura"
"Diamond Ray","Gymnura natalensis"
"Longtail Butterfly Ray","Gymnura poecilura"
"Madagascar Skate","Dipturus crosnieri"
"Mottled Eagle Ray","Aetomylaeus maculatus"
"Ornate Eagle Ray","Aetomylaeus vespertilio"
"Chilean Eagle Ray","Myliobatis chilensis"
"Purple Eagle Ray","Myliobatis hamlyni"
"Longnose Eagle Ray","Myliobatis longirostris"
"Peruvian Eagle Ray","Myliobatis peruvianus"
"Duckbill Eagle Ray","Aetomylaeus bovinus"
"American Cownose Ray","Rhinoptera bonasus"
"Javanese Cownose Ray","Rhinoptera javanica"
"Pacific Cownose Ray","Rhinoptera steindachneri"
"Aden Torpedo","Torpedo adenensis"
"Caribbean Torpedo","Torpedo andersoni"
"Panther Torpedo","Torpedo panthera"
"Argentine Torpedo","Tetronarce puelcha"
"Gulf Torpedo","Torpedo sinuspersici"
"St. Joseph","Callorhinchus capensis"
"Smallspine Spookfish","Harriotta haeckeli"
"Narrownose Chimaera","Harriotta raleighana"
"Dwarf Sicklefin Chimaera","Neoharriotta carri"
"Sicklefin Chimaera","Neoharriotta pinnata"
"Arabian Sicklefin Chimaera","Neoharriotta pumila"
"Paddlenose Spookfish","Rhinochimaera africana"
"Atlantic Longnose Chimaera","Rhinochimaera atlantica"
"Pacific Spookfish","Rhinochimaera pacifica"
"Sharpnose Ray","Telatrygon acutirostra"
"Red Stingray","Hemitrygon akajei"
"Plain Maskray","Neotrygon annotata"
"Colares Stingray","Fontitrygon colarensis"
"Diamond Stingray","Hypanus dipterurus"
"Wingfin Stingray","Fontitrygon geijskesi"
"Groovebelly Stingray","Dasyatis hypostigma"
"Izu Stingray","Hemitrygon izuensis"
"Painted Maskray","Neotrygon leylandi"
"Longtail Stingray","Hypanus longus"
"Atlantic Stingray","Hypanus sabinus"
"Bluntnose Stingray","Hypanus say"
"Atlantic Chupare","Styracura schmardae"
"Blotched Fantail Ray","Taeniurops meyeni"
"Lesser Guitarfish","Acroteriobatus annulatus"
"Bluntnose Guitarfish","Acroteriobatus blochii"
"Sharpnose Guitarfish","Glaucostegus granulatus"
"Ringed Guitarfish","Rhinobatos hynnicephalus"
"Whitesnout Guitarfish","Pseudobatos leucorhynchus"
"Bareback Guitarfish","Rhinobatos nudidorsalis"
"Widenose Guitarfish","Glaucostegus obtusus"
"Shovelnose Guitarfish","Pseudobatos productus"
"Salalah Guitarfish","Acroteriobatus salalah"
"Clubnose Guitarfish","Glaucostegus thouin"
"Zanzibar Guitarfish","Acroteriobatus zanzibarensis"
"Banded Guitarfish","Zapteryx exasperata"
"Southern Banded Guitarfish","Zapteryx xyster"
"Spotted Shovelnose Ray","Aptychotrema timorensis"
"African Wedgefish","Rhynchobatus luebberti"
"Clown Wedgefish","Rhynchobatus cooki"
"Broadnose Wedgefish","Rhynchobatus springeri"
"Cuban Chimaera","Chimaera cubana"
"Jordan’s Chimaera","Chimaera jordani"
"Giant Chimaera","Chimaera lignaria"
"Owston’s Chimaera","Chimaera owstoni"
"Silver Chimaera","Chimaera phantasma"
"African Chimaera","Hydrolagus africanus"
"Gulf Chimaera","Hydrolagus alberti"
"Ninespot Chimaera","Hydrolagus barbouri"
"Spotted Ratfish","Hydrolagus colliei"
"Bigeye Chimaera","Hydrolagus macrophthalmus"
"Mitsukuri's Chimaera","Hydrolagus mitsukurii"
"Purple Chimaera","Hydrolagus purpurescens"
"Abyssal Ghostshark","Hydrolagus trolli"
"Munk's Pygmy Devil Ray","Mobula munkiana"
"Sicklefin Devil Ray","Mobula tarapacana"
"Bentfin Devil Ray","Mobula thurstoni"
"Scoophead Shark","Sphyrna media"
"Smalleye Hammerhead","Sphyrna tudes"
"Narrownose Smoothhound","Mustelus schmitti"
"Smalleye Smoothhound","Mustelus higmani"
"Venezuelan Dwarf Smoothhound","Mustelus minicanis"
"Gulf of Mexico Smoothhound","Mustelus sinusmexicanus"
"Mosaic Gulper Shark","Centrophorus tessellatus"
"Roughskin Spurdog","Cirrhigaleus asper"
"Pygmy Shark","Euprotomicrus bispinatus"
"Longnose Pygmy Shark","Heteroscymnoides marleyi"
"Largetooth Cookiecutter Shark","Isistius plutodus"
"Greenland Shark","Somniosus microcephalus"
"Spined Pygmy Shark","Squaliolus laticaudus"
"Velvet Dogfish","Zameus squamulosus"
"Steindachner's Dogfish","Centrophorus granulosus"
"Caribbean Reef Shark","Carcharhinus perezi"
"Daggernose Shark","Isogomphodon oxyrhynchus"
"Night Shark","Carcharhinus signatus"
"Night Shark","Carcharhinus signatus"
"Nurse Shark","Ginglymostoma cirratum"
"Longfin Mako","Isurus paucus"
"Bahamas Sawshark","Pristiophorus schroederi"
"Swell Shark","Cephaloscyllium ventriosum"
"Peppered Catshark","Galeus piperatus"
"Crying Izak Catshark","Holohalaelurus melanostigma"
"Campeche Catshark","Parmaturus campechiensis"
"Filetail Catshark","Parmaturus xaniurus"
"Blotched Catshark","Scyliorhinus meadi"
"Chain Catshark","Scyliorhinus retifer"
"West African Catshark","Scyliorhinus cervigoni"
"Mexican Hornshark","Heterodontus mexicanus"
"Blurred Lanternshark","Etmopterus bigelowi"
"Lined Lanternshark","Etmopterus bullisi"
"Cylindrical Lanternshark","Etmopterus carteri"
"Caribbean Lanternshark","Etmopterus hillianus"
"Dwarf Lanternshark","Etmopterus perryi"
"African Lanternshark","Etmopterus polli"
"Great Lanternshark","Etmopterus princeps"
"West Indian Lanternshark","Etmopterus robinsi"
"Thorny Lanternshark","Etmopterus sentosus"
"Green Lanternshark","Etmopterus virens"
"Fringefin Lanternshark","Etmopterus schultzi"
"Whitespot Smoothhound","Mustelus palumbes"
"Eyespot Skate","Atlantoraja cyclophora"
"Aguja Skate","Bathyraja aguja"
"Dusky Catshark","Bythaelurus canescens"
"Colombian Dwarf Numbfish","Diplobatis colombiensis"
"Venezuelan Dwarf Numbfish","Diplobatis guamachensis"
"Pacific Dwarf Numbfish","Diplobatis ommata"
"Painted Dwarf Numbfish","Diplobatis picta"
"Maltese Skate","Leucoraja melitensis"
"Shortlip Numbfish","Narcine brevilabiata"
"Caribbean Sharpnose Shark","Rhizoprionodon porosus"
"White Skate","Rostroraja alba"
"Spiny Dogfish","Squalus acanthias"
"Spiny Dogfish","Squalus acanthias"
"Spiny Dogfish","Squalus acanthias"
"Spiny Dogfish","Squalus acanthias"
"Spiny Dogfish","Squalus acanthias"
"Cuban Dogfish","Squalus cubensis"
"Sawback Angelshark","Squatina aculeata"
"Smoothback Angelshark","Squatina oculata"
"Shortnose Guitarfish","Zapteryx brevirostris"
"Longnosed Skate","Dipturus oxyrinchus"
"Spade Sandskate","Psammobatis rutrum"
"Whitedotted Skate","Bathyraja albomaculata"
"Pale Chimaera","Hydrolagus pallidus"
"Large-eyed Rabbitfish","Hydrolagus mirabilis"
"Cousseau's Skate","Bathyraja cousseauae"
"American Elephantfish","Callorhinchus callorynchus"
"Broadbanded Lanternshark","Etmopterus gracilispinis"
"Rio Skate","Rioraja agassizii"
"La Plata Skate","Atlantoraja platana"
"Broadnose Skate","Bathyraja brachyurops"
"Atlantic Butterfly Skate","Bathyraja papilionifera"
"Graytail Skate","Bathyraja griseocauda"
"Rabbitfish","Chimaera monstrosa"
"Pallid Skate","Bathyraja pallida"
"Roughskin Skate","Dipturus trachydermus"
"Patagonian Skate","Bathyraja macloviana"
"Arctic Skate","Amblyraja hyperborea"
"Starry Skate","Raja asterias"
"Freckle Sandskate","Psammobatis lentiginosa"
"Southern Thorny Skate","Amblyraja doellojuradoi"
"Small-eyed Rabbitfish","Hydrolagus affinis"
"Menni's Skate","Dipturus mennii"
"Krefft’s Skate","Malacoraja kreffti"
"Prickle Skate","Malacoraja spinacidermis"
"Richardson’s Skate","Bathyraja richardsoni"
"Speckled Smoothhound","Mustelus mento"
"Humpback Smoothhound","Mustelus whitneyi"
"Spotted Houndshark","Triakis maculata"
"Common Guitarfish","Rhinobatos rhinobatos"
"Brazilian Soft Skate","Malacoraja obscura"
"Tumbes Round Ray","Urobatis tumbesensis"
"Ecuador Skate","Dipturus ecuadoriensis"
"Whitemouth Skate","Bathyraja schroederi"
"Raspthorn Sandskate","Psammobatis scobina"
"Angular Roughshark","Oxynotus centrina"
"Caribbean Numbfish","Narcine bancroftii"
"Magellan Skate","Bathyraja magellanica"
"Multispine Skate","Bathyraja multispinis"
"Cuphead Skate","Bathyraja scaphiops"
"Spotted Skate","Raja montagui"
"Peruvian Skate","Bathyraja peruana"
"Atlantic Sawtail Catshark","Galeus atlanticus"
"Striped Rabbitfish","Hydrolagus matallanasi"
"Spiny Butterfly Ray","Gymnura altavela"
"Leopard Numbfish","Narcine leoparda"
"Venezuela Skate","Rostroraja cervigoni"
"Venezuelan Round Ray","Urotrygon venezuelae"
"Lesser Numbfish","Narcine brasiliensis"
"Gorgona Guitarfish","Pseudobatos prahli"
"Smalleye Lanternshark","Etmopterus litvinovi"
"Densescale Lanternshark","Etmopterus pycnolepis"
"Atlantic Finless Skate","Gurgesiella atlantica"
"Galápagos Skate","Rajella eisenhardti"
"Grey Nurse Shark","Carcharias taurus"
"Galapagos Ghostshark","Hydrolagus mccoskeri"
"Grey Gummy Shark","Mustelus ravidus"
"Indonesian Guitarfish","Rhinobatos penggali"
"Jimbaran Guitarfish","Rhinobatos jimbaranensis"
"Maugean Skate","Dipturus maugeanus"
"Western Highfin Spurdog","Squalus altipinnis"
"Edmunds’ Spurdog","Squalus edmundsi"
"Caribbean Blind Numbfish","Benthobatis marcida"
"Freckle Skate","Leucoraja lentiginosa"
"Butterfly Skate","Bathyraja mariposa"
"Whitespotted Guitarfish","Rhinobatos albomaculatus"
"Southern Mandarin Shark","Cirrhigaleus australis"
"Bigmouth Skate","Amblyraja robertsi"
"Whitespot Ghostshark","Hydrolagus alphus"
"Clouded Angelshark","Squatina nebulosa"
"Broadnose Lanternshark","Etmopterus burgessi"
"Marbled Torpedo Ray","Torpedo marmorata"
"White-spotted Skate","Dentiraja cerva"
"Cuban Ribbontail Catshark","Eridacnis barbouri"
"Hook Skate","Dactylobatus clarkii"
"Dwarf Sawtail Catshark","Galeus schultzi"
"Gray Smooth-hound","Mustelus californicus"
"Rogers' Round Ray","Urotrygon rogersi"
"Boa Catshark","Scyliorhinus boa"
"Allens Skate","Pavoraja alleni"
"Cortez Skate","Beringraja cortezensis"
"Rough Skate","Raja radula"
